CumleID,Parti,Cumle,PozSkor,NegSkor,algoritma_kod,elle_kod
96,AKP,"•	 Afet ile mücadele için gerekli insan kaynağının rol ve sorumluluklarının  belirlenerek doğru bölgelere yönlendirilebilmesi, gerekli ihtiyaç malze- melerinin nereden temin edilip hangi bölgelere yönlendirileceğinin be- lirlenmesini sağlayacak yapay zekâ özelliklerine sahip bir karar destek  sistemi oluşturacağız.",1,0,pozitif,
137,AKP,"•	 Dijitalleşme vizyonumuzun temelinde insan olmaya devam edecek,  “yıkıcı” değil “insani dijitalleşme”yi temel alarak çocuklarımızı ve genç- lerimizi geleceğe hazırlayacağız.",0,0,nötr,
23,AKP,Yapay zekâ uygulamaları dahil gelişmiş teknoloji altyapısıyla  hedef pazar belirleme noktasında e-ihracata yönelik çevrimiçi dijital  danışmanlık verilmesini sağlayacağız.,1,0,pozitif,
442,AKP,"Özellikle Risk Analizi formlarının yenilenmesi  ve bu formların yapay zekâ destekli analiziyle, olayların oluşmadan en- gellenmesi, suça ve şiddete eğilimli kişilerin dikkatle takip edilmesi sağ- lanacaktır.",0,1,negatif,
218,AKP,"Böylece, enerji ve  madencilik teknolojilerinde kamu ve özel sektör ile üniversitelerin bir  araya gelerek yürüttükleri proje ve diğer çalışmalarda sinerji oluştur- malarını sağladık.",0,0,nötr,
795,MHP,Dijitalleşme etkisi  doğrultusunda ailelerin teknoloji okuryazarlığı konusunda bilinç­ lendirilmesini sağlayacak mekanizmalar oluşturulmalıdır.,0,0,nötr,
526,CHP_IYI_Ortak,•  Bilim ve Teknoloji Yüksek Kurulunu tekrar çalışır hale getireceğiz.,0,0,nötr,
63,AKP,"•	 Milli İstihbarat Teşkilatımızın teknolojik kabiliyetlerini başta siber istih- barat, kriptoloji, sinyal istihbaratı, büyük veri analizi, yapay zekâ, uydu  ve uzaydan istihbarat toplama teknolojileri olmak üzere tüm kritik alan- larda geliştirmeyi sürdüreceğiz.",1,0,pozitif,
139,AKP,•	 Yeşil dönüşüm ve dijitalleşmeyi merkeze alan ve modern çağın sundu- ğu imkânlarla genç çiftçilerimizi güçlü bir şekilde destekleyerek genç  çiftçilerimizle tarımda yeni bir atılım sağlayacağız.,2,0,pozitif,
831,MHP,"•	 Enerji teknolojilerinde güneş paneli, batarya, rüzgâr tribünü ala­ nında önemli yatırımlar yapılmıştır.",0,0,nötr,
835,MHP,"Bu hedefin gerçekleştirilebilmesi  için Türkiye’nin doğal ve beşeri kaynakları ile ekonomik, sosyal ve  teknolojik imkân ve fırsatlarının harekete geçirilmesi ve millî karar­ lılığın en güçlü şekilde ortaya konulmasıdır.",0,0,nötr,
254,AKP,"Cumhurbaşkanlığı Hükümet Sistemi’nin sonuç odaklı ve etkin yönetim  yapısı doğrultusunda dijital dönüşüm, siber güvenlik, büyük veri ve yapay  zekâ ile diğer yenilikçi teknolojilerle ilgili çalışmaların koordinasyonunu  Dijital Dönüşüm Ofisini kurarak tek çatı altında topladık.",0,0,nötr,
677,CHP_IYI_Ortak,•  Dijital dönüşümü ve evden veya uzaktan çalışma imkanlarını da dikkate alarak kamu ve özel  sektörde engelliler için ayrılan mevcut kotaları dolduracağız.,0,0,nötr,
250,AKP,"Dijital dönüşüm; sanayiden tarıma, finanstan sağlığa, ulaşımdan kamu  hizmetlerine kadar insan hayatının tüm alanlarında doğrudan geniş bir  etki alanına sahiptir.",0,0,nötr,
548,CHP_IYI_Ortak,"•  Firmaların e-ticaret, sanal mağaza, dijital tasarım, kişiselleştirilmiş ürünler, çevreci ürünler  gibi alanlarda beceri ve imkânlarını destekleyeceğiz.",0,0,nötr,
483,CHP_IYI_Ortak,•  Gümrük ve taşımacılık süreçlerini hızlandırmak üzere uçtan uca dijital ve geniş ölçüde oto­ matik hale getirilmiş blokzincir temelli Dijital Gümrük kuracağız.,0,0,nötr,
86,AKP,"AK Parti olarak; sadece demokrasiyi durağanlaştıran vesayet odakla- rıyla değil, teknolojik atılımlarımızın önünü kesen vesayet odaklarıyla da  Türkiye’yi edilgen ve buzullaşmış bir dış politikaya mahkûm eden vesayetçi  diplomasiyle de, yargıda, akademide, sendikal faaliyetlerde, sivil toplum- culukta, medyada halkın nefes borularını tıkayan tüm vesayet odaklarıyla  mücadele ettik.",0,0,nötr,
673,CHP_IYI_Ortak,"•  Eğitim, bilinçlendirme, yerinde ve etkili denetim, sivil toplum örgütleriyle iş birliği, yasal  teşvikler, teknolojik imkanlar ve veri entegrasyonları yoluyla kayıt dışı istihdamla mücadele  edeceğiz.",0,0,nötr,
588,CHP_IYI_Ortak,•  Dijital şiddet gibi olumsuz durumlara yönelik farkındalıkların oluşturulmasını sağlayacağız.,0,0,nötr,
